tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt1375666,Inception,2010,825532764.0,2qvA7HmSg1iM6XMiFF76dp,Inception (Music from the Motion Picture),2010,127.0,63,46.41666666666666,557,12,2960539,49.34231666666667,{'Hans Zimmer'}
tt0816692,Interstellar,2014,701729206.0,3B61kSKTxlY36cYgzvf3cP,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014,127.0,71,52.73333333333333,1582,30,8362282,139.37136666666666,{'Hans Zimmer'}
tt0468569,The Dark Knight,2008,1004558444.0,63uFfOZpC7jrV7wfuBY2lX,The Dark Knight (Original Motion Picture Soundtrack),2008,127.0,53,42.0,588,14,4407649,73.46081666666667,{'Hans Zimmer'}
tt0499549,Avatar,2009,2923706026.0,1H81jGoWeLI8ufq42GfDPn,AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,2009,150.0,2,2.2,11,5,4737515,78.95858333333334,"{'Leona Lewis', 'James Horner'}"
tt0848228,The Avengers,2012,1518815515.0,3wvpIkfl4oOgZLMaQBWadf,The Avengers (Original Motion Picture Soundtrack),2012,127.0,53,25.61111111111111,461,18,3873914,64.56523333333334,{'Alan Silvestri'}
tt1431045,Deadpool,2016,783100000.0,6VYJa5gmoecpJavlgh0BHH,Deadpool (Original Soundtrack Album),2016,127.0,43,25.30434782608696,582,23,4099967,68.33278333333334,"{'Teamheadkick', 'Salt-N-Pepa', 'DMX', 'Junkie XL', 'Neil Sedaka', 'Juice Newton', 'George Michael'}"
tt4154756,Avengers: Infinity War,2018,2052415039.0,6Ltf5m1jvSomNQ0bhfuj5O,Avengers: Infinity War (Original Motion Picture Soundtrack / Deluxe Edition),2018,127.0,44,25.433333333333334,763,30,6990462,116.5077,{'Alan Silvestri'}
tt0137523,Fight Club,1999,100853753.0,7BNrUfFSDHEbj1hi12yjdj,Fight Club (Original Motion Picture Score),1999,127.0,41,31.6875,507,16,3853540,64.22566666666667,{'The Dust Brothers'}
tt2015381,Guardians of the Galaxy,2014,772776600.0,3KxwtSwqC6Ed49laQpSlJM,Guardians of the Galaxy (Original Score),2014,127.0,38,20.655172413793103,599,29,3885205,64.75341666666667,{'Tyler Bates'}
tt0110912,Pulp Fiction,1994,213900000.0,2Rosrqy5gnHaKLrh2ctnVq,Pulp Fiction (Music From The Motion Picture),1994,127.0,45,16.45,329,20,2481686,41.36143333333333,"{'Peter Greene', 'Dusty Springfield', 'Maria De Medeiros', 'John Travolta', 'The Centurians', 'The Lively Ones', 'The Statler Brothers', 'Maria McKee', 'Jerome Patrick Hoban', 'Kool & The Gang', 'Dick Dale & His Del-Tones', 'Al Green', 'Urge Overkill', 'The Tornadoes', 'Tim Roth', 'The Revels', 'Chuck Berry', 'Samuel L. Jackson', 'Ricky Nelson'}"
tt0109830,Forrest Gump,1994,677387716.0,1Fw951OcmbeCmVnnNcRYrp,Forrest Gump - Original Motion Picture Score,1994,127.0,50,30.571428571428573,642,21,2315566,38.59276666666667,{'Alan Silvestri'}
tt0241527,Harry Potter and the Philosopher's Stone,2001,976475550.0,6zeHM5CV0CjcS0K8ouWE4N,Harry Potter and the Sorcerer's Stone Original Motion Picture Soundtrack,2023,150.0,61,48.31578947368421,918,19,4411088,73.51813333333334,{'John Williams'}
tt7737786,Greenland,2020,52300000.0,5DzUulfY4qF1XctCqKI3XX,Greenland (Original Motion Picture Soundtrack),2020,150.0,16,8.4,126,15,3320630,55.343833333333336,{'David Buckley'}
tt1853728,Django Unchained,2012,425368238.0,0m7dZQ6nLNjDI78hBmpG1L,Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,2012,127.0,50,24.39130434782609,561,23,3268511,54.475183333333334,"{'James Brown', 'Riz Ortolani', 'John Legend', 'Jim Croce', 'Samuel L. Jackson', 'Elisa Toffoli', 'Don Johnson', 'Christoph Waltz', 'Don Straud', 'James Russo', 'Rick Ross', 'Jerry Goldsmith', 'Ennio Morricone', 'Luis Bacalov', 'Brother Dege', 'Annibale E I Cantori Moderni', 'Anthony Hamilton'}"
tt0111161,The Shawshank Redemption,1994,28341469.0,5ucvCY0hFIAL95DVKohEiB,The Shawshank Redemption,2009,100.0,44,27.285714285714285,573,21,3211700,53.528333333333336,"{'Irving Mills', 'Thomas Newman', 'Wolfgang Amadeus Mozart', 'Jack Lawrence'}"
tt4154796,Avengers: Endgame,2019,2800000000.0,6r4Vfnoifx2CLiTKCaKji8,Avengers: Endgame (Original Motion Picture Soundtrack),2019,127.0,50,28.8,1008,35,7012374,116.8729,{'Alan Silvestri'}
tt0133093,The Matrix,1999,463517383.0,11H3JkQiYm6ydXZuDWs4RO,The Matrix (Original Motion Picture Score),1999,127.0,31,21.5,215,10,1811131,30.18551666666667,{'Don Davis'}
tt0120338,Titanic,1997,2264162353.0,2vbms1edEpirypSspyXZgB,Titanic: Music from the Motion Picture Soundtrack,1997,150.0,47,35.53333333333333,533,15,4349527,72.49211666666666,"{'James Horner', 'Céline Dion'}"
tt7286456,Joker,2019,1074458282.0,16bF6lLLeVcBNgYNreGjYZ,Joker (Original Motion Picture Soundtrack),2019,127.0,45,31.47058823529412,535,17,2193328,36.55546666666667,{'Hildur Guðnadóttir'}
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,871368364.0,04rz93AqGy9JduzV3K81Dh,The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack),2001,127.0,63,49.66666666666666,894,18,4287755,71.46258333333333,"{'Howard Shore', 'Enya'}"
tt0167260,The Lord of the Rings: The Return of the King,2003,1118888979.0,38x0H9PdY1fHh8EdfPUXqa,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),2003,127.0,53,40.36842105263158,767,19,4325421,72.09035,"{'Howard Shore', 'Annie Lennox'}"
